,state,name
0,AK,Donald Trump
1,AL,Donald Trump
2,AR,Donald Trump
3,AZ,Donald Trump
4,CA,Donald Trump
5,CO,Donald Trump
6,CT,Donald Trump
7,DC,Donald Trump
8,DE,Donald Trump
9,FL,Donald Trump
10,GA,Donald Trump
11,HI,Barack Obama
12,IA,Donald Trump
13,ID,Donald Trump
14,IL,Donald Trump
15,IN,Donald Trump
16,KS,Donald Trump
17,KY,Donald Trump
18,LA,Donald Trump
19,MA,Donald Trump
20,MD,Donald Trump
21,ME,Donald Trump
22,MI,Donald Trump
23,MN,Donald Trump
24,MO,Donald Trump
25,MS,Donald Trump
26,MT,Donald Trump
27,NC,Donald Trump
28,ND,Donald Trump
29,NE,Donald Trump
30,NH,Donald Trump
31,NJ,Donald Trump
32,NM,Donald Trump
33,NV,Donald Trump
34,NY,Donald Trump
35,OH,Donald Trump
36,OK,Donald Trump
37,OR,Donald Trump
38,PA,Donald Trump
39,RI,Hillary Clinton
40,SC,Donald Trump
41,SD,Donald Trump
42,TN,Donald Trump
43,TX,Donald Trump
44,UT,Donald Trump
45,VA,Donald Trump
46,VT,Barack Obama
47,WA,Donald Trump
48,WI,Donald Trump
49,WV,Donald Trump
50,WY,Donald Trump
